,0,1
0,0.0088,760.47753567
1,0.008801,0.15055293
2,0.00880452,1.0
3,0.00880611,0.14315727
4,0.00880715,0.32446431
5,0.00880869,0.17160287
6,0.00880999,5.88003179
7,0.00881,16.50413933
8,0.00881419,0.22742215
9,0.0088142,2.59246596
10,0.00881423,23.55985327
11,0.0088143,0.98902096
12,0.00881456,4.80767147
13,0.00881457,13.58564718
14,0.00881627,0.24682277
15,0.00882,2.24003281
16,0.00882136,2.96880817
17,0.00882559,0.66015076
18,0.00882723,0.6263422
19,0.00882766,0.28539226
20,0.00883,0.62384595
21,0.00884176,0.12032731
22,0.00884499,32.09299453
23,0.00884633,0.0570876
24,0.00884638,1.11409947
25,0.00884965,0.23475319
26,0.00885,0.88439358
27,0.00885322,0.14457838
28,0.00885535,1.04625859
29,0.00885659,0.07229881
30,0.00885875,0.28122521
31,0.00886006,0.38711135
32,0.00886123,0.20213563
33,0.00886204,0.1955077
34,0.0088646,0.23179249
35,0.008865,3.99229357
36,0.00886517,0.24367034
37,0.0088665,0.14734858
38,0.0088685,0.24506355
39,0.0088687,0.30016108
40,0.00886936,0.17375353
41,0.00887031,0.16988895
42,0.00887076,0.1519244
43,0.00887153,0.29800736
44,0.00887407,0.17113188
45,0.00887932,0.29256146
46,0.00888168,1.0
47,0.00888202,0.12056933
48,0.00888222,0.25018082
49,0.00888257,0.75417337
50,0.00888326,0.40765933
51,0.00888336,0.45101159
52,0.00888384,46.205
53,0.00888397,41.87307371
54,0.00888489,0.08764729
55,0.00888499,0.8
56,0.00888875,0.1800623
57,0.00888973,0.07406674
58,0.00889002,32.03570541
59,0.00889004,0.3651499
60,0.00889006,20.0
61,0.00889102,0.676141
62,0.00889436,0.12129432
63,0.00889441,0.28275901
64,0.00889499,0.45424815
65,0.00889635,0.40239101
66,0.00889813,0.63692992
67,0.00889854,0.39899689
68,0.00889961,0.09143682
69,0.0089,12.35338622
70,0.00890062,0.12455621
71,0.00890104,0.41701321
72,0.00890257,0.29071615
73,0.00890782,0.64199924
74,0.00891024,0.14163833
75,0.00891178,0.60845103
76,0.00891198,0.16876547
77,0.00891246,0.33243092
78,0.00891261,0.5
79,0.0089186,1.0
80,0.00891863,1.69382584
81,0.00891897,0.19333757
82,0.00891953,0.62347155
83,0.00892,3.1513796
84,0.00892077,0.40440511
85,0.00892446,0.22809251
86,0.00892612,0.29623705
87,0.00892904,0.29862535
88,0.00892942,0.19445617
89,0.00893,0.19581701
90,0.00893013,0.18142947
91,0.008932,0.34586297
92,0.00893263,0.27998267
93,0.00893389,0.63226011
94,0.00893423,2.0
95,0.00893426,0.38801646
96,0.00893511,0.83170109
97,0.00893516,3.20771
98,0.0089356,68.90763904
99,0.00893619,0.79047638
100,0.00893713,0.08823046
101,0.00893714,0.05916834
102,0.00893724,0.25080106
103,0.00893753,0.40022396
104,0.00894,26.33050387
105,0.00894036,0.21797211
106,0.00894158,0.45575363
107,0.00894264,0.14644787
108,0.00894273,0.57310879
109,0.00894276,0.06221977
110,0.00894387,0.34421775
111,0.0089441,1.36680295
112,0.0089456,462.05
113,0.00894729,0.34048144
114,0.00894831,1.01326639
115,0.00894855,0.63741974
116,0.00894901,0.12131604
117,0.00894905,0.22893128
118,0.00894984,0.28125156
119,0.00894996,0.53058251
120,0.00895,26.11513727
121,0.00895062,0.13377465
122,0.00895107,0.46500977
123,0.00895123,0.37345884
124,0.00895133,0.2327678
125,0.00895185,0.27758827
126,0.00895199,14.36769532
127,0.00895262,0.44996097
128,0.00895266,0.26575544
129,0.00895307,0.34017093
130,0.00895388,0.05916834
131,0.00895392,0.29277136
132,0.00895399,0.28565938
133,0.008954,1.87395108
134,0.00895676,0.25812863
135,0.00895689,0.07360043
136,0.00895792,0.1515731
137,0.008958,0.0743954
